"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Total","Never attended","All Locality Types","Sekyere Central","Female",453,724,913,899,821
"Total","Never attended","All Locality Types","Western North","Both sexes",7955,14136,17383,21842,22666
"Total","Never attended","All Locality Types","Western North","Male",3832,6139,7166,9078,9790
"Total","Never attended","All Locality Types","Western North","Female",4123,7997,10217,12764,12876
"Total","Never attended","All Locality Types","Ahafo","Both sexes",2993,5944,7241,9502,10406
"Total","Never attended","All Locality Types","Ahafo","Male",1488,2493,2955,3887,4434
"Total","Never attended","All Locality Types","Ahafo","Female",1505,3451,4286,5615,5972
"Total","Never attended","All Locality Types","Bono","Both sexes",7301,12827,14817,18291,19685
"Total","Never attended","All Locality Types","Bono","Male",3613,5857,6364,7475,7779
"Total","Never attended","All Locality Types","Bono","Female",3688,6970,8453,10816,11906
"Total","Never attended","All Locality Types","Dormaa Central Municipal","Both sexes",455,875,1043,1296,1501
"Total","Never attended","All Locality Types","Dormaa Central Municipal","Male",221,405,428,510,597
"Total","Never attended","All Locality Types","Dormaa Central Municipal","Female",234,470,615,786,904
"Total","Never attended","All Locality Types","Bono East","Both sexes",17620,26166,27112,32418,31432
"Total","Never attended","All Locality Types","Bono East","Male",9014,11639,11208,13372,12915
"Total","Never attended","All Locality Types","Bono East","Female",8606,14527,15904,19046,18517
"Total","Never attended","All Locality Types","Oti","Both sexes",13414,17613,18443,21492,19993
"Total","Never attended","All Locality Types","Oti","Male",6924,7615,7655,8245,7773
"Total","Never attended","All Locality Types","Oti","Female",6490,9998,10788,13247,12220
"Total","Never attended","All Locality Types","Northern","Both sexes",62638,88019,89574,101248,81088
"Total","Never attended","All Locality Types","Northern","Male",29917,33001,31578,35910,29619
"Total","Never attended","All Locality Types","Northern","Female",32721,55018,57996,65338,51469
"Total","Never attended","All Locality Types","TMA-Tamale Central","Both sexes",617,1495,2068,2875,2714
"Total","Never attended","All Locality Types","TMA-Tamale Central","Male",238,517,603,846,838
"Total","Never attended","All Locality Types","TMA-Tamale Central","Female",379,978,1465,2029,1876
"Total","Never attended","All Locality Types","Savannah","Both sexes",26360,33183,29735,32885,24992
"Total","Never attended","All Locality Types","Savannah","Male",13437,15003,12914,14607,10849
"Total","Never attended","All Locality Types","Savannah","Female",12923,18180,16821,18278,14143
"Total","Never attended","All Locality Types","Central Gonja","Both sexes",7185,8596,7293,7758,5676
"Total","Never attended","All Locality Types","Central Gonja","Male",3679,3853,2998,3310,2423
"Total","Never attended","All Locality Types","Central Gonja","Female",3506,4743,4295,4448,3253
"Total","Never attended","All Locality Types","Upper East","Both sexes",19234,27615,31715,39665,40049
"Total","Never attended","All Locality Types","Upper East","Male",10232,12061,13258,16251,16082
"Total","Never attended","All Locality Types","Upper East","Female",9002,15554,18457,23414,23967
"Total","Never attended","All Locality Types","Upper West","Both sexes",16489,23844,24871,29576,28608
"Total","Never attended","All Locality Types","Upper West","Male",8724,10736,10984,12418,11602
"Total","Never attended","All Locality Types","Upper West","Female",7765,13108,13887,17158,17006
"Total","Never attended","Rural","Western","Both sexes",8829,17629,21759,24697,23767
"Total","Never attended","Rural","Western","Male",4710,8765,10276,11407,10521
"Total","Never attended","Rural","Western","Female",4119,8864,11483,13290,13246
"Total","Never attended","Rural","Wassa Amenfi Central","Both sexes",1087,2464,2826,2830,2472
"Total","Never attended","Rural","Wassa Amenfi Central","Male",565,1338,1464,1433,1207
"Total","Never attended","Rural","Wassa Amenfi Central","Female",522,1126,1362,1397,1265
"Total","Never attended","Rural","Central","Both sexes",4561,8356,10603,13181,16389
"Total","Never attended","Rural","Central","Male",2450,3841,4749,5259,5997
"Total","Never attended","Rural","Central","Female",2111,4515,5854,7922,10392
"Total","Never attended","Rural","Gomoa Central","Both sexes",176,266,360,447,620
"Total","Never attended","Rural","Gomoa Central","Male",88,104,144,160,166
"Total","Never attended","Rural","Gomoa Central","Female",88,162,216,287,454
"Total","Never attended","Rural","Greater Accra","Both sexes",2124,3715,4770,6185,6537
"Total","Never attended","Rural","Greater Accra","Male",1184,1827,1961,2377,2346
"Total","Never attended","Rural","Greater Accra","Female",940,1888,2809,3808,4191
"Total","Never attended","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"Total","Never attended","Rural","Ga Central Municipal","Male",0,0,0,0,0
"Total","Never attended","Rural","Ga Central Municipal","Female",0,0,0,0,0
"Total","Never attended","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Total","Never attended","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"Total","Never attended","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"Total","Never attended","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Total","Never attended","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"Total","Never attended","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"Total","Never attended","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"Total","Never attended","Rural","TMA-Tema Central","Male",0,0,0,0,0
"Total","Never attended","Rural","TMA-Tema Central","Female",0,0,0,0,0
"Total","Never attended","Rural","Volta","Both sexes",4444,7178,8423,11230,12447
"Total","Never attended","Rural","Volta","Male",2378,3171,3317,4151,4298
"Total","Never attended","Rural","Volta","Female",2066,4007,5106,7079,8149
"Total","Never attended","Rural","Central Tongu","Both sexes",490,725,841,1020,1183
"Total","Never attended","Rural","Central Tongu","Male",285,315,331,362,373
"Total","Never attended","Rural","Central Tongu","Female",205,410,510,658,810
"Total","Never attended","Rural","Eastern","Both sexes",7575,11579,13505,17493,20725
"Total","Never attended","Rural","Eastern","Male",4473,5971,6218,7379,8282
"Total","Never attended","Rural","Eastern","Female",3102,5608,7287,10114,12443
"Total","Never attended","Rural","Birim Central Municipal","Both sexes",10,10,12,19,27
"Total","Never attended","Rural","Birim Central Municipal","Male",8,4,5,9,9
"Total","Never attended","Rural","Birim Central Municipal","Female",2,6,7,10,18
"Total","Never attended","Rural","Upper West Akim","Both sexes",323,563,653,907,1112
"Total","Never attended","Rural","Upper West Akim","Male",153,278,278,334,427
"Total","Never attended","Rural","Upper West Akim","Female",170,285,375,573,685
"Total","Never attended","Rural","Ashanti","Both sexes",12175,21051,27381,33696,36348
"Total","Never attended","Rural","Ashanti","Male",6066,9421,11706,13959,14989
"Total","Never attended","Rural","Ashanti","Female",6109,11630,15675,19737,21359
"Total","Never attended","Rural","Amansie Central","Both sexes",516,1107,1354,1473,1512
"Total","Never attended","Rural","Amansie Central","Male",287,587,713,736,672
"Total","Never attended","Rural","Amansie Central","Female",229,520,641,737,840
"Total","Never attended","Rural","Asante Akim Central Municipal","Both sexes",140,237,370,496,517
"Total","Never attended","Rural","Asante Akim Central Municipal","Male",69,99,156,198,215
"Total","Never attended","Rural","Asante Akim Central Municipal","Female",71,138,214,298,302
"Total","Never attended","Rural","Ahafo Ano South West","Both sexes",316,563,760,1033,1089
"Total","Never attended","Rural","Ahafo Ano South West","Male",159,259,337,405,479
"Total","Never attended","Rural","Ahafo Ano South West","Female",157,304,423,628,610
"Total","Never attended","Rural","Ahafo Ano North Municipal","Both sexes",314,603,852,1179,1365
"Total","Never attended","Rural","Ahafo Ano North Municipal","Male",155,256,347,443,590
"Total","Never attended","Rural","Ahafo Ano North Municipal","Female",159,347,505,736,775
"Total","Never attended","Rural","Ahafo Ano South East","Both sexes",257,456,604,770,991
"Total","Never attended","Rural","Ahafo Ano South East","Male",144,163,248,298,381
"Total","Never attended","Rural","Ahafo Ano South East","Female",113,293,356,472,610
"Total","Never attended","Rural","Sekyere Central","Both sexes",829,1155,1374,1408,1272
"Total","Never attended","Rural","Sekyere Central","Male",418,499,566,626,584
"Total","Never attended","Rural","Sekyere Central","Female",411,656,808,782,688
"Total","Never attended","Rural","Western North","Both sexes",6309,11177,13921,17550,18220
"Total","Never attended","Rural","Western North","Male",3102,4963,5851,7390,8166
"Total","Never attended","Rural","Western North","Female",3207,6214,8070,10160,10054
"Total","Never attended","Rural","Ahafo","Both sexes",1950,3826,4643,6260,6905
"Total","Never attended","Rural","Ahafo","Male",975,1631,1907,2617,3012
"Total","Never attended","Rural","Ahafo","Female",975,2195,2736,3643,3893
"Total","Never attended","Rural","Bono","Both sexes",4348,7460,8537,10515,11564
"Total","Never attended","Rural","Bono","Male",2228,3498,3762,4507,4829
"Total","Never attended","Rural","Bono","Female",2120,3962,4775,6008,6735
"Total","Never attended","Rural","Dormaa Central Municipal","Both sexes",361,660,767,1001,1152
"Total","Never attended","Rural","Dormaa Central Municipal","Male",179,311,306,406,476
"Total","Never attended","Rural","Dormaa Central Municipal","Female",182,349,461,595,676
"Total","Never attended","Rural","Bono East","Both sexes",11566,16007,15669,18758,18079
"Total","Never attended","Rural","Bono East","Male",6248,7545,6905,8163,7778
"Total","Never attended","Rural","Bono East","Female",5318,8462,8764,10595,10301
"Total","Never attended","Rural","Oti","Both sexes",9879,12577,12810,15327,14128
"Total","Never attended","Rural","Oti","Male",5236,5610,5433,6014,5575
"Total","Never attended","Rural","Oti","Female",4643,6967,7377,9313,8553
"Total","Never attended","Rural","Northern","Both sexes",49707,64049,59736,64222,49063
"Total","Never attended","Rural","Northern","Male",24249,25096,22584,24055,18758
"Total","Never attended","Rural","Northern","Female",25458,38953,37152,40167,30305
"Total","Never attended","Rural","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Total","Never attended","Rural","TMA-Tamale Central","Male",0,0,0,0,0
"Total","Never attended","Rural","TMA-Tamale Central","Female",0,0,0,0,0
"Total","Never attended","Rural","Savannah","Both sexes",22633,27300,23564,25685,19086
"Total","Never attended","Rural","Savannah","Male",11713,12542,10568,11687,8433
"Total","Never attended","Rural","Savannah","Female",10920,14758,12996,13998,10653
"Total","Never attended","Rural","Central Gonja","Both sexes",5908,6801,5606,5944,4236
"Total","Never attended","Rural","Central Gonja","Male",3081,3084,2388,2557,1820
"Total","Never attended","Rural","Central Gonja","Female",2827,3717,3218,3387,2416
"Total","Never attended","Rural","Upper East","Both sexes",16763,23480,26152,32136,32533
"Total","Never attended","Rural","Upper East","Male",8974,10410,11194,13561,13346
"Total","Never attended","Rural","Upper East","Female",7789,13070,14958,18575,19187
"Total","Never attended","Rural","Upper West","Both sexes",15131,21107,21095,24858,24002
"Total","Never attended","Rural","Upper West","Male",8165,9722,9635,10740,9906
"Total","Never attended","Rural","Upper West","Female",6966,11385,11460,14118,14096
"Total","Never attended","Urban","Western","Both sexes",3665,7546,9870,12124,12515
"Total","Never attended","Urban","Western","Male",1802,3558,4449,5101,4711
"Total","Never attended","Urban","Western","Female",1863,3988,5421,7023,7804
"Total","Never attended","Urban","Wassa Amenfi Central","Both sexes",165,304,385,456,334
"Total","Never attended","Urban","Wassa Amenfi Central","Male",70,135,202,217,160
"Total","Never attended","Urban","Wassa Amenfi Central","Female",95,169,183,239,174
"Total","Never attended","Urban","Central","Both sexes",4999,8989,12047,15689,18795
"Total","Never attended","Urban","Central","Male",2551,4010,4979,6002,6786
"Total","Never attended","Urban","Central","Female",2448,4979,7068,9687,12009
"Total","Never attended","Urban","Gomoa Central","Both sexes",43,71,83,129,215
"Total","Never attended","Urban","Gomoa Central","Male",28,24,30,39,51
"Total","Never attended","Urban","Gomoa Central","Female",15,47,53,90,164
"Total","Never attended","Urban","Greater Accra","Both sexes",13227,27324,36198,44392,44899
"Total","Never attended","Urban","Greater Accra","Male",4674,11026,14356,16602,15124
"Total","Never attended","Urban","Greater Accra","Female",8553,16298,21842,27790,29775
"Total","Never attended","Urban","Ga Central Municipal","Both sexes",512,829,1275,1710,2030
"Total","Never attended","Urban","Ga Central Municipal","Male",167,358,456,555,552
"Total","Never attended","Urban","Ga Central Municipal","Female",345,471,819,1155,1478
"Total","Never attended","Urban","Ablekuma Central Municipal","Both sexes",554,1207,1627,1914,1961
"Total","Never attended","Urban","Ablekuma Central Municipal","Male",269,685,809,772,762
"Total","Never attended","Urban","Ablekuma Central Municipal","Female",285,522,818,1142,1199
"Total","Never attended","Urban","Ayawaso Central Municipal","Both sexes",286,479,607,696,762
"Total","Never attended","Urban","Ayawaso Central Municipal","Male",53,150,195,210,227
"Total","Never attended","Urban","Ayawaso Central Municipal","Female",233,329,412,486,535
"Total","Never attended","Urban","TMA-Tema Central","Both sexes",90,187,236,263,266
"Total","Never attended","Urban","TMA-Tema Central","Male",34,74,94,105,97
"Total","Never attended","Urban","TMA-Tema Central","Female",56,113,142,158,169
"Total","Never attended","Urban","Volta","Both sexes",2172,4171,5421,7327,7815
"Total","Never attended","Urban","Volta","Male",969,1744,1954,2515,2576
"Total","Never attended","Urban","Volta","Female",1203,2427,3467,4812,5239
"Total","Never attended","Urban","Central Tongu","Both sexes",26,63,82,111,96
"Total","Never attended","Urban","Central Tongu","Male",13,31,25,36,29
"Total","Never attended","Urban","Central Tongu","Female",13,32,57,75,67
"Total","Never attended","Urban","Eastern","Both sexes",3315,6261,8426,10927,12666
"Total","Never attended","Urban","Eastern","Male",1582,2928,3504,4310,4542
